晚风摇树树还挺 晨露润花花更红
愿景天成无墨迹 万方乐奏有于阗
丹枫江冷人初去 绿柳堤新燕复来
闲来野钓人稀处 兴起高歌酒醉中
投石向天跟命斗 闭门问卷与时争
深院落藤花，石不点头龙不语 残经凋贝叶，香无飞篆磬无声
不畏鸿门传汉祚 难堪垓下别虞姬
新居落成创业始 宏图初振治家先
本领高强攀月桂 成亲吉利放兰香
豪华超御苑 康乐驻山城
常夸海口无人信 不做夜郎有客邀
屋后千年树 门前万顷荷
恶人无道天收伧 妙笔生花韵溢香
修竹翠萝寒，天雾累身，月香满袖 绿水红云绕，柳阴浮桨，花露侵诗
时见流莺鸣柳岸 偶观雨燕栖寒檐
万险何辞？为圆大漠科研梦 一心不改，永做中华求索人
披肝沥胆洒情，杏坛犹靠良师带 刻骨铭心立志，国梦更凭学子圆
摇风池畔柳 向日路边葵
狐臭驱辞去 梅香引客来
一院梅花堪养眼 三池菡萏可怡心
落花流水随春去 候鸟飞虫应季来
杯传花插添行色 豹变蛟腾报捷章
桃花识我当年种 人面如今何处寻
奥运圣火八万里 中华文明五千年
寿佛宛在，捧黄菌紫芝，长餐世界 大圣倘归，品金瓜玉果，不羡仙乡
今宵花落无归处 去岁燕离有返时
山水无俗情，何妨洗却凡尘修佛性 门庭多古意，不若抛开杂念养禅心
诗瘦犹怜秋色老 情浓还寄雁声高
处世抑私怀，公道抚平雕水浪 为官行德政，民心凝聚宋州城
一针见血治标本 两袖清风防腐贪
驿路梨花轻带雨 池塘荷叶洁承珠
纵论英雄，青梅煮酒双雄会 深交挚友，赤胆掏心众友知
斗转星移，锦绣侗乡春又满 安居乐业，勤劳民族梦常圆
